,id_target,disposition,period,duration
383,266688542,CANDIDATE,2.941827,3.535806
387,330332501,CANDIDATE,4.0157492,2.706
389,219338557,CANDIDATE,8.1992272,2.2298894
408,160487753,CANDIDATE,8.47134,6.989
409,219852882,CANDIDATE,5.502554,2.687
410,219852882,CANDIDATE,1.7622481,0.653
411,229747848,CANDIDATE,0.8474219,0.356
412,229747848,CANDIDATE,4.8419566,2.062
416,233953967,CANDIDATE,5.5402402,7.382
419,279177746,CANDIDATE,4.4350026,1.888
421,372264750,CANDIDATE,2.17026,2.221
422,277566483,CANDIDATE,23.9299886,30.119
428,277447970,CANDIDATE,2.2374329,3.129
429,395142888,CANDIDATE,1.9173831,2.077424
431,26880783,CANDIDATE,1.7753641,2.026
436,155005217,CANDIDATE,7.6047417,5.23
444,190743990,CANDIDATE,1.7370044,1.434021
450,275722992,CANDIDATE,6.5602603,3.452
455,343019899,CANDIDATE,,5.694
458,353038705,CANDIDATE,3.062624,1.767
459,62483237,CANDIDATE,11.0708037,2.5160833
463,430528566,CANDIDATE,0.5591262,0.9699626
464,431156009,CANDIDATE,2.9581592,3.666
469,66783360,CANDIDATE,1.38155,2.263
475,352239069,CANDIDATE,6.8673699,3.553
476,352239069,CANDIDATE,14.4319773,3.229
480,364186197,CANDIDATE,4.4247298,1.176
483,199444169,CANDIDATE,1.2168732,0.86
486,119700084,CANDIDATE,6.1182129,0.6671441
488,148782377,CANDIDATE,14.4193583,5.1635709
489,158025009,CANDIDATE,1.0697611,1.376
493,425934411,CANDIDATE,0.8533536,1.1014878
494,321857016,CANDIDATE,6.9561134,3.3628003
498,418959198,CANDIDATE,4.8947449,2.0965172
505,293954617,CANDIDATE,7.4341446,2.425
507,256783784,CANDIDATE,6.1095756,2.441
509,138588540,CANDIDATE,29.902663,3.6993733
510,153976959,CANDIDATE,0.6858278,1.169
511,154383539,CANDIDATE,0.8675883,1.3814953
512,198356533,CANDIDATE,18.84101,5.82
513,229650439,CANDIDATE,5.1396634,0.766
