,id_target,disposition,period,duration,koi_time0bk
3067,8121310,CANDIDATE,11.505879,5.583,136.2363
3100,11709124,CANDIDATE,934.09418462,17.489,657.26877
3101,11805075,CANDIDATE,199.83920527,4.378,225.35896
3103,11824222,CANDIDATE,15.84132627,1.8215,177.142109
3125,6268648,CANDIDATE,20.605501,3.793,146.5069
3131,8212002,CANDIDATE,9.5539134,5.261,135.5281
3137,7017274,CANDIDATE,6.77067637,5.982,133.34914
3143,12366084,CANDIDATE,0.589376952,1.71,131.8694
3149,9872283,CANDIDATE,1.74610057,1.299,131.7921
3178,4951877,CANDIDATE,24.7962801,8.33,170.32595
3185,5544450,CANDIDATE,6.93650854,3.674,133.98309
3189,10973664,CANDIDATE,11.67894236,1.2641,131.5119
3197,8226050,CANDIDATE,18.3848331,3.545,135.4745
3203,6779260,CANDIDATE,2.2165905,1.0,131.5607
3208,5443837,CANDIDATE,3.65849707,2.573,170.54381
3221,2832589,CANDIDATE,2.433703498,0.975,133.83759
3227,10793172,CANDIDATE,7.9788198,2.874,132.2596
3233,10285631,CANDIDATE,10.52286678,1.911,137.78844
3244,7504328,CANDIDATE,53.71798494,4.104,208.08042
3248,7199397,CANDIDATE,105.8817667,18.044,156.97935
3263,10157458,CANDIDATE,4.57797412,2.862,135.63058
3269,8261920,CANDIDATE,3.01609637,1.57,131.55327
3275,6716545,CANDIDATE,21.9424316,7.447,143.8807
3281,1723078,CANDIDATE,330.025002,6.659,364.8075
3295,9008220,CANDIDATE,9.391039263,2.8386,170.539799
3298,9955262,CANDIDATE,77.4794704,10.1151,154.70734
3312,7906892,CANDIDATE,11.1438086,7.905,131.725
3318,8320630,CANDIDATE,32.526674,6.842,137.3054
3319,9703198,CANDIDATE,10.32906563,1.44,174.608213
3339,6289650,CANDIDATE,166.7876551,5.8676,245.143036
3342,11135694,CANDIDATE,49.537365,9.862,172.1948
3346,10460984,CANDIDATE,94.886902,6.923,214.82879
3360,8216763,CANDIDATE,24.0721647,3.171,148.9637
3362,6879865,CANDIDATE,19.193103549,2.5425,176.966757
3366,3758499,CANDIDATE,80.881757,12.568,136.6708
3368,9552608,CANDIDATE,9.250572762,3.6373,135.407531
3376,10221013,CANDIDATE,7.189379172,2.0351,170.117783
3378,2299738,CANDIDATE,1.8134378,7.776,132.6703
3386,7619236,CANDIDATE,562.1725914,9.8841,185.968547
3387,7630229,CANDIDATE,278.1243979,3.978,177.51831
3388,7730747,CANDIDATE,4.034914368,1.7874,172.257813
3391,7906882,CANDIDATE,52.513548727,3.2743,171.6745959
3392,7976520,CANDIDATE,4.17838675,2.123,171.98866
3396,2302997,CANDIDATE,16.2982201,2.558,134.7404
3399,8505215,CANDIDATE,2190.7010353,19.891,140.04806
3413,10265898,CANDIDATE,3.29534567,1.902,132.48799
3415,10265898,CANDIDATE,5.25449393,3.078,132.55624
3425,12600735,CANDIDATE,6.0799457,2.706,136.444
3434,10272442,CANDIDATE,70.2780911,2.466,151.32941
