,id_target,disposition,period,duration
592,TIC 242942524,CANDIDATE,1.39657671,1.586
593,TIC 25958209,CANDIDATE,31.3537,5.016
594,TIC 25958209,CANDIDATE,14.8484,3.6
595,TIC 25958209,CANDIDATE,10.0696,3.096
596,TIC 26055820,CANDIDATE,3.65017,1.272
597,TIC 26055820,CANDIDATE,3.6494,
598,TIC 26055820,CANDIDATE,5.7663,
599,TIC 26055820,CANDIDATE,5.76808,1.8
600,TIC 26055820,CANDIDATE,7.98221,
601,TIC 26055820,CANDIDATE,7.98471,1.92
602,TIC 14160396,CANDIDATE,5.1718,
603,TIC 440724659,CANDIDATE,5.7408,
604,TIC 113953280,CANDIDATE,29.0529,
612,TIC 15932677,CANDIDATE,1.436756,2.556
613,TIC 15932677,CANDIDATE,1.43689647,2.367
614,TIC 113921235,CANDIDATE,59.848566,
615,TIC 113921235,CANDIDATE,59.84871,4.284
616,TIC 14228017,CANDIDATE,11.376,3.432
617,TIC 14228017,CANDIDATE,11.37698,
619,TIC 26054964,CANDIDATE,0.8925,1.992
620,TIC 440687872,CANDIDATE,14.7619,2.688
621,TIC 440687872,CANDIDATE,14.7582,
623,TIC 440699530,CANDIDATE,0.7041655,1.775
624,TIC 14080244,CANDIDATE,1.93426,2.184
625,TIC 14080244,CANDIDATE,3.43827,0.8016
626,TIC 61141802,CANDIDATE,18.03895153,6.304
627,TIC 14230289,CANDIDATE,2.41040731,1.847
628,TIC 14230289,CANDIDATE,2.410271,1.84704
629,TIC 440687177,CANDIDATE,1.6865884,4.923
630,TIC 61145203,CANDIDATE,8.4044,2.256
631,TIC 440727989,CANDIDATE,1.1829266,2.1168
632,TIC 61116662,CANDIDATE,20.5949,
633,TIC 61116662,CANDIDATE,20.600656,3.9
635,TIC 440695298,CANDIDATE,56.6205,5.736
636,TIC 15935339,CANDIDATE,1.702301,2.53896
637,TIC 14226699,CANDIDATE,0.349935,
638,TIC 14226699,CANDIDATE,0.3499146,1.9032
639,TIC 26078330,CANDIDATE,4.27681,2.808
640,TIC 26078330,CANDIDATE,13.16121,4.056
641,TIC 26078330,CANDIDATE,21.0858,4.728
642,TIC 26078330,CANDIDATE,30.2894,5.256
643,TIC 26078330,CANDIDATE,1.82876,2.352
644,TIC 26078343,CANDIDATE,7.1149,
645,TIC 61113635,CANDIDATE,3.347872,3.7248
646,TIC 14334541,CANDIDATE,1.31982263,1.588
647,TIC 14110700,CANDIDATE,3.32257,1.656
648,TIC 56621708,CANDIDATE,,7.176
650,TIC 149923858,CANDIDATE,,6.792
651,TIC 149923858,CANDIDATE,28.29213,4.464
653,TIC 149907584,CANDIDATE,14.643071,
654,TIC 302545802,CANDIDATE,18.8652,3.936
655,TIC 23076555,CANDIDATE,7.434876,1.4736
656,TIC 427740976,CANDIDATE,2.349515,
657,TIC 427740976,CANDIDATE,2.34951024,2.432
658,TIC 427740976,CANDIDATE,2.3494907,2.66
659,TIC 427740976,CANDIDATE,2.349545,2.712
660,TIC 427740976,CANDIDATE,2.349455,2.1
661,TIC 84336349,CANDIDATE,0.2990737,0.5256
662,TIC 348723705,CANDIDATE,16.43831081,4.389
663,TIC 125757123,CANDIDATE,5.88165,3.528
664,TIC 459056070,CANDIDATE,11.55059,
665,TIC 459056070,CANDIDATE,0.19785,
666,TIC 444013500,CANDIDATE,6.423,4.88496
667,TIC 458686969,CANDIDATE,3.139404,4.3
668,TIC 458686969,CANDIDATE,3.1393698,3.998
669,TIC 458686969,CANDIDATE,3.1393226,
670,TIC 366409685,CANDIDATE,1.385246,0.8808
671,TIC 366409685,CANDIDATE,1.38517136,0.8604094
672,TIC 366499151,CANDIDATE,13.8240078,3.512
673,TIC 366499151,CANDIDATE,13.8253157,
674,TIC 468984101,CANDIDATE,22.194346,4.8
675,TIC 366500350,CANDIDATE,1.72397,1.488
676,TIC 366657411,CANDIDATE,17.178,2.45208
677,TIC 366484561,CANDIDATE,5.409,2.34408
678,TIC 366443576,CANDIDATE,4.9898664,1.037
679,TIC 366443576,CANDIDATE,4.99,0.86208
680,TIC 444034296,CANDIDATE,0.22181,
681,TIC 437031055,CANDIDATE,44.13,4.63488
682,TIC 366622585,CANDIDATE,14.448767,3.7488
683,TIC 366622585,CANDIDATE,14.4518248,3.628
684,TIC 366622585,CANDIDATE,14.449,0.59496
685,TIC 366622585,CANDIDATE,14.448987,3.7632
686,TIC 444010408,CANDIDATE,0.46395,
687,TIC 444010408,CANDIDATE,0.46395,
