loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
3068,8121310,K00317.02,CANDIDATE,11.505879000,2454969.236,5.58300,11111111111111111000000000000000
3069,10513530,K00533.02,CONFIRMED,3.524678880,2454964.640,2.48400,11111111111111111000000000000000
3070,10554999,K00534.01,CONFIRMED,6.400157105,2455007.022,2.00040,11111101110111011000000000000000
3071,9076513,K00583.01,CONFIRMED,2.437029217,2455003.738,3.20050,11111111111111111000000000000000
3072,9146018,K00584.01,CONFIRMED,9.926721500,2455008.687,3.84280,11111111111111111000000000000000
3073,9146018,K00584.02,CONFIRMED,21.223493250,2455003.374,4.94160,11111111111111111000000000000000
3074,9146018,K00584.03,CONFIRMED,6.470277060,2454969.506,3.34300,11111111111111111000000000000000
3075,9279669,K00585.01,CONFIRMED,3.722158895,2455004.560,1.99410,11111111111111111000000000000000
3076,10843590,K00431.02,CONFIRMED,46.902643100,2454987.303,3.92640,11111111111111111000000000000000
3077,10858832,K00432.01,CONFIRMED,5.263415218,2455007.351,2.14460,11111111111111111000000000000000
3078,10937029,K00433.01,CONFIRMED,4.030466786,2455004.092,2.77340,11111101110111011000000000000000
3079,11599038,K01437.02,FALSE POSITIVE,9.279890000,2454966.746,3.33000,11111110111011101000000000000000
3080,10937029,K00433.02,CONFIRMED,328.240201000,2455032.203,12.27260,11111101110111011000000000000000
3081,11656302,K00434.01,FALSE POSITIVE,22.264806569,2455006.103,8.79410,11111111111111111000000000000000
3082,2576197,K00489.01,FALSE POSITIVE,2.217038096,2455004.696,1.85750,11111111111111111000000000000000
3083,2576197,K00489.02,FALSE POSITIVE,8.874603000,2454973.295,2.88000,
3084,3239945,K00490.01,CONFIRMED,4.393157678,2455005.868,2.44550,11111111111111111000000000000000
3085,10387742,K02583.02,FALSE POSITIVE,251.751200000,2455104.069,4.31400,11111111111111111000000000000000
3086,10187017,K00082.01,CONFIRMED,16.145671932,2454967.755,3.72360,11111111111111111000000000000000
3087,3239945,K00490.02,CONFIRMED,1071.232624000,2455253.287,16.17840,11111111111111111000000000000000
3088,10554999,K00534.02,CONFIRMED,2.735900074,2455004.096,1.93590,11111101110111011000000000000000
3089,10873260,K00535.01,CONFIRMED,5.852968845,2455004.182,4.59730,11111101110111011000000000000000
3090,10965008,K00536.01,CONFIRMED,81.170158700,2455011.587,8.35800,11111110111011101000000000000000
3091,10467815,K03191.02,FALSE POSITIVE,371.175730000,2455291.715,8.20000,11111111111111111000000000000000
