kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
10797460,K00752.01,CONFIRMED,9.488035570,2455003.539,2.95750,11111111111111111000000000000000
10797460,K00752.02,CONFIRMED,54.418382700,2454995.514,4.50700,11111111111111111000000000000000
10848459,K00754.01,FALSE POSITIVE,1.736952453,2455003.308,2.40641,11111110111011101000000000000000
